,Node,Degree,In degree nodes,Out degree nodes,Betweenness centrality,Local reaching centrality,Label
190,716241450914435212182101260787324804766153660181,3,1,2,0.00839724680432645,2.377256493201174,moisture > 89.67
191,401849052094181080436076126418024594358650184652,3,1,2,0.01048180924287119,2.306347699282176,Pheno <= 0.68
192,594766896722372750654626777443766529520430548657,2,1,1,3.9331366764995083e-05,0.0009034042172810766,pH <= 4.96
193,893931918085720507244247615538062186675227880,3,2,1,1.9665683382497542e-05,0.008582340064170227,moisture <= 84.12
194,431500440665982291877861151163819974354623898398,3,1,2,0.0471583087512291,2.750634034055236,Tit Acid <= 0.26
195,593582945782690037149796047474941708010354689197,2,1,1,0.0,0.009034042172810767,pH > 4.31
196,435432251591663184771443986739530685097320043375,1,0,1,0.0,0.0027102126518432296,Pheno <= 0.56
197,45454144829668979566464121012617294258704128459,2,1,1,0.0,0.0009034042172810766,pH <= 4.76
198,601763826219114235527910162539683904909382561581,3,1,2,0.0005506391347099312,1.902901246794424,Brix <= 10.62
199,494127393420143926044921388078061355092756508432,3,1,2,0.005978367748279253,0.021907552269066106,Tit Acid > 0.26
200,505662032645117586105020132832693601065137912470,3,1,2,0.02393313667649951,1.327178461172895,Brix <= 11.53
201,606472261887217459912504716286461793220012175689,2,1,1,1.9665683382497542e-05,0.0018068084345621532,moisture > 85.13
202,867891166252050599975181215235547111412275904906,2,1,1,1.9665683382497542e-05,0.0009034042172810766,moisture <= 85.13
203,526047352448732854443680809168250965427631523486,5,2,3,0.0030285152409046216,0.005872127412326998,pH <= 4.98
204,549746515891163843617425559522791667429845420065,3,1,2,0.0031071779744346116,0.024391913866589066,moisture <= 87.83
205,665349927789854546665190254614539114508329105543,2,1,1,1.9665683382497542e-05,0.005420425303686459,pH > 4.25
206,969155621814931029403414990471813815682308915928,2,1,1,0.0003736479842674533,0.0004517021086405383,moisture <= 84.18
207,55923346877840428698347323406582099240301384625,2,1,1,4.9164208456243856e-05,0.0004517021086405383,moisture > 86.84
208,568484349403032706442811090722432144818001088423,2,1,1,2.949852507374631e-05,0.0009034042172810766,pH <= 4.32
209,760690807701745161922384972988751015502868077734,3,1,2,0.00456243854473943,0.0036136168691243064,Brix > 10.25
210,868178698416958623881163015092076504008241750906,2,1,1,0.0,0.0036136168691243064,Brix <= 10.25
211,832773610056439029892754125124439324367450502547,2,1,1,7.866273352999017e-05,0.0004517021086405383,pH <= 3.96
212,591885969784043405678088549818395643409737559965,2,1,1,0.0,0.0022585105432026916,moisture <= 86.84
213,597240793788279097482678786121035081124008541581,2,1,1,3.9331366764995083e-05,0.0036136168691243064,pH > 4.86
214,602598630478483288029339331728879842549488786305,2,1,1,0.0,0.0036136168691243064,Brix <= 11.8
215,895341986559537670622554184047363489737530876707,2,1,1,1.9665683382497542e-05,0.0022585105432026916,Brix > 9.38
216,972948545649733030197121650868510688720440557436,2,1,1,0.0,0.0022585105432026916,Brix <= 9.38
217,771605197583423849419390014360052811265050672605,2,1,1,0.0,0.0036136168691243064,moisture <= 84.24
218,679457994161468121604690233924775229118954641934,2,1,1,3.9331366764995083e-05,0.0013551063259216148,pH > 4.32
219,792760025352293005683938330994589112688689251669,2,1,1,3.9331366764995083e-05,0.004517021086405383,moisture > 87.83
220,734688343688369556113059663312243972070074525881,2,1,1,0.00017699115044247788,0.0018068084345621532,pH <= 5.12
221,825792580619614131751020977051041803762036359722,3,2,1,0.0,0.00813063795552969,pH > 4.98
222,953013916229408958655391420495312068437993458202,7,2,5,0.04890855457227138,2.8660398414995787,pH <= 4.75
223,763950697541158696363668447456846400874782411362,2,1,1,5.899705014749262e-05,0.0013551063259216148,Brix > 11.72
224,993220505241451504412699202801575240176639188473,3,1,2,0.014060963618485743,2.3273397926686843,moisture <= 87.66
225,929991558533201463690147621459319073435429710754,2,1,1,0.0,0.0013551063259216148,Brix <= 11.72
226,993598645401710847477252614412509615077137993235,2,0,2,0.0,2.23756232268083,Brix <= 11.03
