,Node,Degree,In degree nodes,Out degree nodes,Betweenness centrality,Local reaching centrality,Label
99,520408378444148052535090774918801091096096873386,2,1,1,0.0,0.0006113959717240592,pH <= 5.0
100,850680869277507842791030455333102941280107573886,12,5,7,0.03135079789491554,2.0370477328066783,Pheno <= 0.74
101,866219661844517520440105737257897458358104236613,2,1,1,1.591545709192768e-05,0.0003056979858620296,pH > 5.0
102,1085775669705950178942763954196458192549315056174,2,1,1,6.366182836771072e-06,0.0003056979858620296,Brix <= 10.11
103,108695551173216811220809398532289050002057560322,6,2,4,0.004386459129106188,2.5053674645065787,pH > 5.16
104,1088248199940427074860481752570253273481163547946,2,1,1,9.549274255156608e-06,0.0003056979858620296,Brix <= 11.54
105,1094595865003162816368159976011369561749658044560,3,1,2,0.003230837789661319,0.0037702751589650326,moisture <= 86.4
106,1131648872527188645017649934457144056207019767356,2,1,1,0.0,0.0009170939575860888,Brix > 12.0
107,846755632185994819502766419529589014377703441472,3,1,2,0.00163292589763178,0.0012227919434481184,Brix <= 12.0
108,1095883835307482183503243507799832602731810164034,3,2,1,3.183091418385536e-06,0.0009170939575860888,pH > 4.27
109,1096038671369577883629074723248264891345584653879,2,1,1,0.003684428316781258,2.8977821387094123,moisture > 84.25
110,1369453848931345029933103539410755240102540067288,14,5,9,0.0127859477124183,3.3279302663129204,Tit Acid <= 0.17
111,1097393218549485926510675082709423471387496958586,3,1,2,0.0016615737203972498,1.9610741700622576,pH > 5.34
112,1268834994066267126714212531962537133291228424484,6,3,3,0.007624564977506153,2.7142645650886115,Pheno > 0.73
113,1391436089974438774109670874224736679839775700271,8,3,5,0.013859710550887023,2.0947144789844647,Pheno <= 0.73
114,1097902819252124410424749277226738477057041139957,3,1,2,0.0024228630846277904,1.4234069248961263,moisture <= 86.82
115,1380182139590358552417025152630431100084044367147,3,1,2,0.002486524912995501,1.5509579168907583,Brix <= 11.7
116,340541323206606717962189848457707874412358636521,2,1,1,0.0,0.0009170939575860888,Brix > 11.7
117,1151684139108188992227777924983826154453017451998,15,6,9,0.04970715558950852,1.9035858726833623,Pheno > 0.67
